age,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,monthly_debt_obligations,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_installment,high_risk_flag,marital_status_Married,marital_status_Single,education_High School,education_Post Graduate,employment_type_Salaried,employment_type_Self-Employed,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Medical,loan_purpose_Personal
44,0.6,120000.0,1.7,0,75.0,0,0,165018.0,24,835.0,0.084,1.375,6876.0,0,False,True,True,False,False,False,False,False,False,False,False
45,9.3,120000.0,7.6,1,26.2,0,0,69322.0,24,1780.0,0.178,0.578,2888.0,0,True,False,True,False,False,True,False,False,True,False,False
35,0.1,120000.0,0.6,1,26.7,0,0,208414.0,36,2043.0,0.204,1.737,5789.0,0,True,False,False,False,True,False,False,False,False,True,False
50,3.8,120000.0,17.8,1,41.2,0,2,67482.0,24,2602.0,0.26,0.562,2812.0,0,True,False,False,True,True,False,False,False,False,True,False
48,8.3,120000.0,2.3,2,31.7,3,1,258940.0,48,1323.0,0.132,2.158,5395.0,0,True,False,True,False,True,False,False,False,True,False,False
35,1.2,120000.0,6.7,1,8.0,0,3,62153.0,36,2525.0,0.252,0.518,1726.0,0,True,False,False,False,False,False,True,False,False,False,False
23,7.4,120000.0,0.6,2,41.7,0,2,180621.0,12,2484.0,0.248,1.505,15052.0,0,True,False,False,False,True,False,False,True,False,False,False
49,6.9,120000.0,3.5,0,39.4,0,0,62294.0,48,2568.0,0.257,0.519,1298.0,0,False,False,False,False,True,False,False,True,False,False,False
31,6.4,120000.0,4.0,2,49.4,1,0,75268.0,36,4494.0,0.449,0.627,2091.0,0,False,True,True,False,True,False,False,True,False,False,False
53,1.0,120000.0,0.8,0,17.0,1,0,164917.0,36,5146.0,0.515,1.374,4581.0,1,False,True,False,True,True,False,False,False,False,False,True
52,9.0,120000.0,2.0,0,35.2,2,0,143751.0,48,3298.0,0.33,1.198,2995.0,0,False,True,False,False,True,False,False,False,False,True,False
63,25.6,120000.0,0.6,1,19.0,0,2,96246.0,24,5030.0,0.503,0.802,4010.0,1,False,True,False,False,False,True,False,False,False,False,False
59,9.0,120000.0,4.3,2,39.9,2,0,301935.0,24,4172.0,0.417,2.516,12581.0,0,False,True,True,False,True,False,True,False,False,False,False
36,9.0,120000.0,2.1,0,56.4,1,2,140665.0,60,2346.0,0.235,1.172,2344.0,0,True,False,True,False,True,False,False,True,False,False,False
48,1.0,120000.0,17.9,2,64.3,1,0,50000.0,36,5070.0,0.507,0.417,1389.0,1,True,False,False,False,False,True,False,True,False,False,False
33,3.6,120000.0,3.7,1,69.1,2,1,109147.0,36,1636.0,0.164,0.91,3032.0,0,True,False,False,False,True,False,False,False,False,False,False
36,0.3,120000.0,6.2,0,10.7,0,1,123766.0,48,4842.0,0.484,1.031,2578.0,0,False,True,False,True,True,False,False,False,True,False,False
40,3.6,120000.0,1.0,1,18.6,1,1,59680.0,48,2700.0,0.27,0.497,1243.0,0,False,True,False,False,False,False,False,False,False,False,False
45,7.9,120000.0,0.5,1,36.7,1,0,50000.0,12,2154.0,0.215,0.417,4167.0,0,False,True,True,False,True,False,False,True,False,False,False
47,1.6,120000.0,6.2,0,24.8,0,0,72484.0,60,1589.0,0.159,0.604,1208.0,0,False,True,False,False,False,False,False,False,False,True,False
57,7.0,120000.0,3.6,0,60.8,0,3,110351.0,48,2610.0,0.261,0.92,2299.0,0,True,False,False,False,True,False,False,False,True,False,False
33,0.3,120000.0,1.2,0,11.6,3,1,55709.0,60,5398.0,0.54,0.464,928.0,1,False,True,False,True,False,True,False,True,False,False,False
50,10.3,120000.0,1.6,1,46.3,0,1,50000.0,36,917.0,0.092,0.417,1389.0,0,True,False,False,False,False,True,False,False,False,False,True
30,3.2,120000.0,5.2,0,16.1,0,1,130965.0,12,4607.0,0.461,1.091,10914.0,0,True,False,False,False,False,True,False,False,False,True,False
41,1.1,120000.0,0.2,0,18.3,1,1,93578.0,48,3388.0,0.339,0.78,1950.0,0,True,False,False,False,True,False,True,False,False,False,False
30,4.2,120000.0,13.2,2,43.1,1,0,323454.0,36,2164.0,0.216,2.695,8985.0,0,False,True,False,True,False,False,False,False,False,True,False
49,3.6,120000.0,17.1,2,38.1,2,0,361505.0,36,3294.0,0.329,3.013,10042.0,0,True,False,False,True,True,False,True,False,False,False,False
32,2.5,120000.0,1.4,1,39.1,3,0,56855.0,24,3887.0,0.389,0.474,2369.0,0,False,False,True,False,True,False,False,False,True,False,False
21,7.4,120000.0,1.9,0,49.4,1,1,98511.0,36,3992.0,0.399,0.821,2736.0,0,False,True,False,False,False,True,False,False,True,False,False
42,18.4,120000.0,10.6,1,86.1,0,3,105182.0,12,1650.0,0.165,0.877,8765.0,1,False,True,True,False,False,False,True,False,False,False,False
45,4.6,120000.0,13.7,0,46.6,1,1,111838.0,48,4821.0,0.482,0.932,2330.0,0,False,True,False,False,True,False,False,True,False,False,False
26,1.5,120000.0,4.5,1,29.1,2,1,125054.0,48,1463.0,0.146,1.042,2605.0,0,False,False,True,False,True,False,False,False,True,False,False
34,3.1,120000.0,9.8,1,32.8,0,1,118060.0,48,4164.0,0.416,0.984,2460.0,0,False,True,True,False,False,True,False,False,False,False,False
45,1.7,120000.0,12.3,0,44.7,2,3,276930.0,36,4115.0,0.412,2.308,7692.0,0,False,True,True,False,True,False,False,False,False,False,True
39,0.9,120000.0,0.7,0,47.9,0,2,123668.0,24,4554.0,0.455,1.031,5153.0,0,True,False,True,False,False,False,False,False,False,False,True
44,0.5,120000.0,2.2,0,84.8,0,0,167808.0,48,1505.0,0.15,1.398,3496.0,1,True,False,True,False,False,True,False,False,False,False,False
56,2.1,120000.0,2.9,0,29.9,0,1,83731.0,36,868.0,0.087,0.698,2326.0,0,False,True,False,False,False,True,True,False,False,False,False
34,2.7,120000.0,17.4,0,20.1,3,1,52447.0,24,5436.0,0.544,0.437,2185.0,1,True,False,False,False,True,False,False,False,True,False,False
64,12.3,120000.0,4.9,1,67.2,1,1,77806.0,24,3388.0,0.339,0.648,3242.0,0,True,False,False,False,True,False,True,False,False,False,False
53,0.4,120000.0,0.8,1,42.9,2,1,186983.0,60,2240.0,0.224,1.558,3116.0,0,False,True,False,False,True,False,False,True,False,False,False
