applicant_id,age,marital_status,education,employment_type,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,loan_purpose,monthly_debt_obligations,debt_to_income_ratio,default
APP011374,38,Married,Post Graduate,Self-Employed,5.3,120000.0,3.2,0,23.5,1,1,101486.0,12,Home Improvement,2198.0,0.22,0
APP003529,28,Married,Graduate,Salaried,9.9,120000.0,9.0,3,26.2,0,2,342954.0,60,Personal,3561.0,0.356,1
APP010877,53,Single,Post Graduate,Self-Employed,7.9,120000.0,12.3,3,18.5,0,1,50000.0,48,Home Improvement,5384.0,0.538,1
APP009276,21,Married,Post Graduate,Salaried,1.4,140117.0,13.8,2,26.4,2,1,102039.0,48,Auto,2308.0,0.198,0
APP009005,50,Single,Post Graduate,Salaried,3.1,120000.0,0.1,0,21.1,3,1,138447.0,24,Medical,756.0,0.076,0
APP011982,48,Married,High School,Self-Employed,0.9,120000.0,2.1,1,25.1,0,1,211756.0,36,Personal,4796.0,0.48,0
APP009129,22,Divorced,Post Graduate,Self-Employed,5.9,120000.0,0.7,0,50.8,2,1,53893.0,24,Business,3985.0,0.398,0
APP000405,50,Single,Post Graduate,Salaried,9.9,120000.0,7.5,1,89.6,0,1,157146.0,60,Business,2821.0,0.282,0
APP011526,52,Single,High School,Salaried,4.1,139302.0,7.4,0,63.0,2,1,144586.0,24,Home Improvement,5840.0,0.503,0
APP012697,31,Married,High School,Business Owner,3.0,120000.0,4.2,0,17.2,1,2,118053.0,24,Personal,935.0,0.094,0
APP009075,31,Married,Graduate,Self-Employed,1.4,120000.0,2.3,1,18.8,1,1,50000.0,60,Auto,4853.0,0.485,0
APP011144,56,Single,Graduate,Salaried,3.4,120000.0,16.3,2,57.6,0,1,50000.0,48,Medical,2280.0,0.228,0
APP013890,25,Married,High School,Salaried,6.0,120000.0,0.4,1,32.3,2,0,105147.0,36,Education,4772.0,0.477,1
APP012606,34,Married,Graduate,Self-Employed,9.4,120000.0,15.8,0,8.6,1,0,115301.0,36,Personal,798.0,0.08,0
APP005570,40,Single,Post Graduate,Salaried,10.3,120000.0,0.7,1,66.8,2,2,105925.0,36,Home Improvement,1502.0,0.15,0
APP012643,45,Married,High School,Business Owner,13.4,120000.0,12.0,0,29.8,0,0,117545.0,12,Home Improvement,3722.0,0.372,0
APP013372,36,Single,Graduate,Salaried,5.2,120000.0,18.3,1,29.4,1,1,117061.0,60,Auto,3283.0,0.328,1
APP002182,26,Single,High School,Salaried,0.9,120000.0,6.4,1,37.2,1,2,50000.0,60,Personal,2174.0,0.217,0
APP004508,56,Divorced,Graduate,Salaried,22.4,120000.0,0.9,3,13.4,1,2,211114.0,48,Auto,1772.0,0.177,0
APP007337,38,Single,Post Graduate,Salaried,1.5,120000.0,9.4,1,40.3,0,0,57683.0,36,Business,4365.0,0.436,0
APP013445,38,Single,Graduate,Salaried,14.7,120000.0,1.3,0,28.4,1,0,50000.0,48,Personal,1037.0,0.104,0
APP010538,48,Single,Post Graduate,Salaried,0.5,120000.0,6.1,2,48.0,2,2,201002.0,36,Business,3276.0,0.328,0
APP009155,46,Married,Graduate,Business Owner,1.1,120000.0,9.1,0,87.1,2,2,77210.0,60,Education,1681.0,0.168,1
APP003325,54,Single,High School,Salaried,1.8,120000.0,9.9,0,42.3,2,3,50000.0,60,Education,5448.0,0.545,0
APP010394,61,Single,Post Graduate,Salaried,0.3,120000.0,0.0,1,32.0,0,1,81012.0,48,Medical,623.0,0.062,0
APP009268,38,Married,High School,Self-Employed,1.4,120000.0,5.1,1,11.7,3,0,218958.0,60,Personal,3926.0,0.393,0
APP009949,42,Married,High School,Salaried,12.5,120000.0,4.4,1,44.5,1,1,122848.0,48,Personal,3776.0,0.378,0
APP002450,25,Married,Post Graduate,Business Owner,0.3,120000.0,18.2,0,37.4,0,0,108049.0,60,Business,2203.0,0.22,0
APP008755,45,Single,Graduate,Salaried,4.6,120000.0,13.7,0,46.6,1,1,111838.0,48,Education,4821.0,0.482,0
APP009384,45,Married,High School,Self-Employed,4.5,120000.0,8.9,1,56.4,2,1,69486.0,36,Medical,1473.0,0.147,0
APP006924,40,Divorced,Post Graduate,Salaried,3.6,120000.0,6.1,0,57.3,1,2,125441.0,48,Education,2099.0,0.21,0
APP014154,33,Single,Graduate,Self-Employed,,120000.0,7.0,2,,0,1,53668.0,36,Education,2689.0,0.269,1
APP006645,24,Single,Graduate,Salaried,5.1,120000.0,3.2,1,81.9,2,1,142644.0,60,Home Improvement,806.0,0.081,1
APP008201,52,Married,High School,Salaried,1.0,120000.0,1.6,0,29.1,1,0,114280.0,36,Personal,1271.0,0.127,0
APP005414,56,Single,High School,Self-Employed,2.1,120000.0,4.2,0,56.4,0,1,154687.0,24,Medical,3376.0,0.338,0
APP010625,32,Married,High School,Salaried,10.0,120000.0,3.6,0,9.4,0,1,131889.0,12,Personal,5268.0,0.527,0
APP009992,39,Married,High School,Salaried,2.2,120000.0,3.8,0,70.3,0,1,125944.0,48,Personal,3305.0,0.33,1
APP012747,28,Single,Post Graduate,Salaried,1.1,120000.0,9.0,1,51.6,1,0,289480.0,12,Personal,4453.0,0.445,0
APP006572,36,Married,Graduate,Salaried,6.7,120000.0,1.9,2,48.9,0,2,78487.0,24,Auto,3086.0,0.309,0
APP014141,34,Married,Graduate,Salaried,7.0,120000.0,0.8,1,39.2,1,1,50000.0,48,Auto,4237.0,0.424,0
APP014031,40,Single,High School,Salaried,0.7,120000.0,3.6,1,40.7,0,1,329740.0,24,Personal,3979.0,0.398,0
APP007175,33,Divorced,High School,Self-Employed,8.5,120000.0,0.1,0,39.0,3,1,50000.0,36,Home Improvement,2673.0,0.267,0
APP009676,28,Married,Post Graduate,Salaried,3.5,120000.0,2.6,1,41.7,1,1,165066.0,24,Auto,2567.0,0.257,0
APP008502,27,Single,Post Graduate,Business Owner,13.2,120000.0,1.1,1,13.0,0,2,50000.0,48,Medical,821.0,0.082,0
APP011185,59,Married,Graduate,Salaried,2.5,120000.0,4.0,1,34.1,3,1,88704.0,60,Medical,1277.0,0.128,0
APP014104,55,Single,Graduate,Salaried,2.1,120000.0,5.7,0,66.3,2,0,56600.0,60,Home Improvement,657.0,0.066,1
APP005722,31,Single,Post Graduate,Self-Employed,4.9,120000.0,3.9,2,64.7,0,0,200028.0,36,Education,3088.0,0.309,0
APP000474,53,Single,Graduate,Salaried,7.1,120000.0,15.9,0,55.2,0,0,88517.0,60,Medical,1491.0,0.149,0
APP005952,35,Married,Graduate,Salaried,0.4,120000.0,1.4,2,50.7,1,1,154086.0,36,Business,4749.0,0.475,0
APP010794,35,Married,Graduate,Salaried,1.3,120000.0,1.4,1,35.6,4,0,77409.0,36,Education,3969.0,0.397,0
APP000150,56,Single,Post Graduate,Salaried,3.2,120000.0,2.4,1,29.7,1,1,163256.0,24,Education,3743.0,0.374,1
APP008356,22,Married,Graduate,Self-Employed,7.2,120000.0,3.3,1,56.7,1,1,143895.0,36,Education,1505.0,0.15,0
APP001350,36,Single,Graduate,Salaried,1.5,120000.0,6.3,2,44.4,2,1,78081.0,36,Personal,559.0,0.056,1
APP001296,59,Married,Graduate,Salaried,0.5,120000.0,3.8,1,18.1,1,1,64840.0,48,Education,2960.0,0.296,1
APP010525,60,Divorced,High School,Salaried,2.8,120000.0,0.4,1,63.2,0,3,196357.0,36,Auto,3893.0,0.389,1
APP010056,58,Married,Post Graduate,Salaried,7.4,120000.0,2.5,1,58.7,1,0,131365.0,48,Business,1883.0,0.188,0
