age,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,monthly_debt_obligations,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_installment,high_risk_flag,marital_status_Married,marital_status_Single,education_High School,education_Post Graduate,employment_type_Salaried,employment_type_Self-Employed,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Medical,loan_purpose_Personal,default_probability,actual_default,risk_score,risk_band,recommended_action
43,3.5,120000.0,17.5,1,85.9,2,2,107117.0,48,1631.0,0.163,0.893,2232.0,1,True,False,False,False,False,False,False,False,True,False,False,0.6027,0,538,Very High Risk,Decline
59,9.1,120000.0,6.0,2,34.5,2,0,50000.0,48,1844.0,0.184,0.417,1042.0,0,True,False,False,False,True,False,False,False,False,False,False,0.4533,1,628,High Risk,Manual underwriter review
31,1.4,120000.0,3.6,3,33.8,1,0,104898.0,24,5138.0,0.514,0.874,4371.0,1,True,False,False,False,False,True,False,False,False,True,False,0.7967,0,422,Very High Risk,Decline
43,11.0,120000.0,3.7,0,74.0,2,1,208107.0,48,4595.0,0.46,1.734,4336.0,0,False,True,False,True,True,False,True,False,False,False,False,0.6609,0,503,Very High Risk,Decline
54,0.3,123350.0,0.4,0,44.4,0,1,106934.0,36,2896.0,0.282,0.867,2970.0,0,True,False,False,False,True,False,True,False,False,False,False,0.3609,0,683,High Risk,Manual underwriter review
32,1.5,120000.0,0.9,0,61.2,1,2,109408.0,48,3649.0,0.365,0.912,2279.0,0,True,False,False,True,False,True,False,False,False,False,False,0.5998,1,540,Very High Risk,Decline
45,3.9,120000.0,5.1,1,61.0,0,0,50000.0,60,3939.0,0.394,0.417,833.0,0,False,True,False,False,False,False,True,False,False,False,False,0.6143,0,531,Very High Risk,Decline
23,7.1,120000.0,4.3,1,66.9,1,0,178323.0,36,573.0,0.057,1.486,4953.0,0,False,True,False,True,False,True,False,False,False,False,False,0.4718,0,617,High Risk,Manual underwriter review
46,3.5,120000.0,28.0,0,47.5,4,2,73706.0,36,2132.0,0.213,0.614,2047.0,0,True,False,False,False,True,False,False,False,False,False,False,0.2005,0,780,Moderate Risk,Approve with conditions (higher rate / lower limit)
56,2.5,120000.0,2.0,1,6.2,0,2,76043.0,60,2163.0,0.216,0.634,1267.0,0,False,True,False,False,True,False,False,False,False,False,True,0.2944,0,723,Moderate Risk,Approve with conditions (higher rate / lower limit)
